Food Item,Dining Location,Cost,Calories,Nuts,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
12 Grain Bagel,Tim Hortons,2.29,320.0,,Y,N,Y,Y,Y,"a Tim Hortons 12 Grain Bagel contains gluten, sesame, soy and wheat. a Tim Hortons 12 Grain Bagel does not contain egg, fish, glutamates, milk, mustard, peanuts, shellfish, sulfites or tree nuts.*",N,N,N,N,Y,Y,N,Y,N,9/25/2025,Bagel
"12"" Big Veggie Sub",Subway,13.89,1080.0,,,N,Y,Y,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich (No Protein)
"12"" Black Forest Ham Sub",Subway,10.99,580.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Bourbon BBQ Stead & Cheddar Sub",Subway,13.89,1040.0,,N,N,,N,N,,N,N,Y,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Bourbon Brisket Sub",Subway,16.59,1380.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"12"" Chicken Rancher Sub",Subway,15.09,1120.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"12"" Cold Cut Combo Sub",Subway,8.99,800.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Great Canadian Club Sub",Subway,15.69,960.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Italian B.M.T Sub",Subway,12.39,820.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Meatball Marinara Sub",Subway,11.49,920.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"12"" Nashville-Style Hot Chicken Sub",Subway,14.99,1180.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"12"" Piri-Piri Chicken Sub",Subway,13.29,1020.0,,N,N,,N,,,N,N,,N,N,,N,Y,,10/1/2025,Sandwich
"12"" Rotisserie-Style Chicken Sub",Subway,13.69,640.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"12"" Smashed Avocado & Turkey Sub",Subway,11.89,1100.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Steak & Cheese Sub",Subway,15.29,720.0,,N,N,,N,N,,N,N,Y,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Steak and Bacon Sub",Subway,18.19,1200.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Teriyaki Crunch Sub",Subway,13.19,1080.0,,N,N,,N,,,N,N,,N,N,Y,N,Y,,10/1/2025,Sandwich
"12"" Tuna Sub",Subway,12.29,900.0,,N,N,,N,,,N,Y,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Turkey Breast Sub",Subway,12.39,580.0,,N,N,,N,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich
"12"" Veggie Delite Sub",Subway,9.48,440.0,,,N,Y,Y,,,N,N,,N,N,N,N,Y,,10/1/2025,Sandwich (No Protein)
3 Piece Chicken Strips,Colonel by Chicken,7.75,,,N,N,Y,N,Y,Three of our delicious chicken wings plus dipping sauce on the side!,N,N,N,N,N,N,N,Y,,1/14/2026,Chicken Strips
3 Sisters Bowl,La Cocina,10.15,660.0,,Y,Y,Y,Y,N,"black beans, roasted squash, corn salsa, jalapeno and guacamole",N,N,Y,N,N,,N,N,,1/15/2026,Rice Bowl
3 Sisters Burrito,La Cocina,10.15,680.0,,Y,N,Y,Y,N,"black beans, roasted squash, cron, salsa, jalapeno and guacamole",N,N,Y,N,N,,N,Y,,1/15/2026,Burrito
