Food Category,ML Coverage,Calories,Percent Fruits and Vegetables,Percent Grain,Percent Dairy,Percent Protein,Fat_g,Carbs_g,Protein_g,Fiber_g,Sugar_g,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites
Bacon,,167,0,0,0,100,11.9,0.683,13.36,0,0,N,N,N,N,Y,N,N,N,N,N,N,N,N,N
Bagel,,245,0,100,0,0,1.5,47.9,10,4.02,6,,N,Y,Y,,N,N,,N,,,,Y,N
Bagel With Protein,Don't bother,295,0,45,20,35,17,22.6,13,0.2,2.98,N,N,,,N,,,,,,,,Y,
Beans,,115,100,0,0,0,6.03,77.15,27.81,40.95,38.75,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Beef,,330,0,0,0,100,24.99,0.62,23.92,0,0,N,Y,,N,Y,N,N,N,N,,,N,N,N
Beets,,58,100,0,0,0,0.24,13.28,2.24,2.66,12.48,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Bread,,274,0,96,4,0,4.53,47.5,10.7,4,4.69,,N,Y,Y,,N,N,,N,,,N,Y,
Broccoli,,70,100,0,0,0,0.37,6.64,2.82,2.6,1.7,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Brownie,,280,70,10,20,0,11.27,44.18,3.32,1.45,25.3,N,N,Y,Y,N,Y,N,Y,N,N,,N,Y,
Burrito,,700,25,35,10,30,27.95,91.6,20.51,16.2,3.21,,N,,,N,N,N,Y,,N,,,Y,
Cake,,399,0,55,35,10,15.9,60.3,3.63,3.2,37.3,N,N,Y,Y,N,Y,N,Y,,N,,,Y,
Cake Pop,Don't bother,160,0,65,30,5,6.37,24.18,1.46,1.28,14.96,N,N,Y,Y,N,Y,N,Y,N,N,Y,N,Y,
Candy,,130,0,85,15,0,0.065,31.85,0,0,20.42,N,,Y,Y,N,,N,Y,,N,Y,,N,
Carrot,,27,100,0,0,0,0.14,6.41,0.593,2.34,2.69,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Cauliflower,,23,100,0,0,0,0.45,4.11,1.84,2.3,1.86,N,N,N,Y,N,N,N,Y,N,N,N,N,N,N
Cheese,,111,0,0,100,0,7.09,0.913,10.1,0,0.031,N,,Y,Y,N,N,N,Y,N,N,N,N,,N
Chicken,,180,0,0,0,100,10.71,0,42.95,0,0,N,,,N,Y,N,N,,N,,,N,,N
Chicken Strips,,450,0,0,0,100,23.25,28.56,31.88,2,0.66,N,N,,N,,,N,N,N,N,N,N,Y,
Chicken Wings,,280,0,0,0,100,17.16,0,29.78,0,0,N,N,,N,Y,N,N,,N,,,N,,
Chickpeas,,70,100,0,0,0,1.21,10.45,4.05,1.95,1.95,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Chilli,,260,40,20,0,40,11.84,29.53,14.21,5.81,1.186,N,N,Y,N,N,N,N,N,N,N,N,N,N,N
Chilli And Bread,Don't bother,534,35,35,0,30,13.06,83.85,23.13,8.92,7.31,N,N,N,N,N,N,N,N,N,N,N,N,Y,
Chips,,157,60,35,0,5,35.4,53.5,6.72,4.2,0.34,,,,,,N,N,,N,,,N,,
Chowder,,250,35,10,25,30,15.91,18.94,7.83,2.28,0,N,N,N,N,N,N,N,Y,N,N,,N,,
Churros,,339,5,70,15,10,12.9,51.6,4.84,1.6,21,N,N,N,N,Y,N,N,N,N,N,N,N,Y,
Coleslaw,,117,70,10,15,5,10.23,13.397,1.21,2.44,9.54,N,Y,Y,Y,,,N,,N,,,N,N,
Combo,,400,15,45,15,25,27.23,24.56,14.32,1.54,1.31,N,N,N,N,N,Y,N,N,N,N,N,N,Y,
Cookie,,150,5,70,15,10,4.47,25.74,1.95,0.349,6.14,,N,Y,Y,N,Y,N,Y,,N,N,,Y,
Corn,,90,100,0,0,0,2.01,18.12,3.44,2.96,0,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Corn dog,,263,15,45,5,35,10.5,32.9,9.21,1.3,10.5,N,N,N,N,Y,N,N,N,N,N,N,N,Y,
Cranberry,,46,100,0,0,0,0.163,12.38,0.025,0.79,10.84,Y,Y,Y,Y,Y,N,N,N,N,N,,N,N,N
Croissant,,272,0,100,0,0,14.1,30.7,5.49,1.74,7.57,N,N,Y,Y,N,,Y,N,N,Y,,,Y,
Croissant Sandwich,Don't bother,370,10,40,20,10,21,28.8,16.5,1.28,6.14,N,N,,,N,,N,Y,N,N,,N,Y,
Cucumber,,15.8,100,0,0,0,0.253,3.41,0.932,1.11,2.18,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N
Cupcake,,310,0,70,25,5,14.16,53.78,2.62,0.4,39.27,N,N,N,N,N,Y,N,Y,N,N,,N,Y,
Curry,,450,35,20,20,25,27.32,27.49,27.32,5.88,10.75,N,N,,,,,N,,,N,N,,,
Curry (Vegetable),Don't bother,206,50,10,25,15,12.6,21.1,3.84,4.32,7.63,Y,N,Y,Y,,N,N,,N,,,N,Y,
Dip,,65,5,5,90,0,4.586,3.98,1.963,1.44,0.091,,,Y,Y,,N,N,,N,N,N,,N,
