Food Item,Dining Location,Cost,Calories,Vegan,Gluten Free,Halal,Vegetarian,No Dairy,Comments,Eggs,Fish,Milk,Peanuts,Sesame,Soy,TreeNuts,Wheat,Sulfites,Last Updated,Food Category
Bacon,Rodney's Kitchen,2.5,70,N,Y,N,N,Y,,N,N,N,N,N,N,N,N,N,1/13/2026,Bacon
Bacon,Riverbank Social,2.99,,N,Y,N,N,Y,2 slices,N,N,N,N,N,N,N,N,N,1/13/2026,Bacon
Peameal Bacon,Teraanga Commons Dining Hall,,45,F,T,F,F,Y,,N,N,N,N,N,,N,N,N,10/6/2025,Bacon
12 Grain Bagel,Tim Hortons,2.29,320,Y,N,Y,Y,Y,"a Tim Hortons 12 Grain Bagel contains gluten, sesame, soy and wheat. a Tim Hortons 12 Grain Bagel does not contain egg, fish, glutamates, milk, mustard, peanuts, shellfish, sulfites or tree nuts.*",N,N,N,N,Y,Y,N,Y,N,9/25/2025,Bagel
Bacon Classic Bagel,Tim Hortons,5.29,495,N,N,,N,N,"Plain Bagel: Enriched Wheat Flour (Wheat Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid) | Water | Sugar | Rye Flour | Salt | Vegetable Oil (Canola Oil or Soybean Oil) | Yeast | Cornmeal | Calcium Propionate (preservative) | Malted Barley Flour | L-Cysteine Egg: Grade A Large Egg Cooking Spray: Canola Oil | Capric/Caprylic Triglycerides | Phosphated Mono- and Diglycerides | Silicon Dioxide | Calcium Stearate | Natural Flavors | Beta Carotene | Propellant Processed American Cheese: Milk | Cream | Water | Sodium Citrate | Salt | Contains 2% or less of: Cheese Culture | Citric Acid | Color Added | Enzymes | Milk Fat | Sorbic Acid (preservative) | Soy Lecithin Bacon: Pork | Water | Salt | Sugar | Smoke Flavoring | Sodium Phosphates | Sodium Erythorbate | Sodium Nitrite",Y,N,Y,N,N,Y,N,Y,N,9/25/2025,Bagel
Bagel,Rooster's,3.19,,Y,N,Y,Y,Y,Your choice of toasted bagel.,N,N,N,N,,N,N,Y,N,1/13/2026,Bagel
Bagel with Cream Cheese,Rooster's,4.88,,N,N,N,Y,N,,N,N,Y,N,,N,N,Y,N,1/13/2026,Bagel
Cinnamon Raisin Bagel,Tim Hortons,2.29,290,Y,N,Y,Y,Y,"Enriched wheat flour (wheat flour, niacin, reduced iron, ascorbic acid added as a dough conditioner, thiamine mononitrate, riboflavin, enzyme, folic acid), Water, Raisins, Sugar, Yeast, Salt, Cornmeal, Soybean and/or canola oil, Natural flavour, Cinnamon, Malted barley flour.",N,N,N,N,N,Y,N,Y,N,9/25/2025,Bagel
Everything Bagel,Tim Hortons,2.29,290,Y,N,Y,Y,Y,"Enriched wheat flour (wheat flour, niacin, reduced iron, ascorbic acid added as a dough conditioner, thiamine mononitrate, riboflavin, enzyme, folic acid), Water, Sugar, Sesame seeds, Onion, Poppy seeds, Yeast, Salt, Soybean and/or canola oil, Cornmeal, Garlic, Gum arabic, Malted barley flour.",N,N,N,N,Y,Y,N,Y,N,9/25/2025,Bagel
Four Cheese Bagel,Tim Hortons,2.99,330,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten May Contain: Sulphites, Egg, Sesame",,N,Y,N,,N,,Y,N,9/25/2025,Bagel
Jalapeno Asiago Mozzarella Bagel,Tim Hortons,2.99,320,N,N,Y,Y,N,"Contains: Milk, Wheat & Gluten May Contain: Sulphites, Egg, Sesame",,N,Y,N,,N,N,Y,N,9/25/2025,Bagel
Kettleman's Bagel,Riverbank Social,2.99,,N,N,Y,Y,,,N,N,N,N,,N,N,Y,N,1/13/2026,Bagel
Mini Everything Bagels,Starbucks,4.25,300,N,N,Y,Y,N,,N,N,Y,N,Y,N,N,Y,N,1/15/2026,Bagel
Plain Bagel,Tim Hortons,2.29,290,Y,N,Y,Y,Y,"Enriched flour (wheat flour, niacin, reduced iron, ascorbic acid added as a dough conditioner, thiamine mononitrate, riboflavin, enzyme, folic acid), Water, Sugar, Soybean and/or canola oil, Yeast, Cornmeal, Salt, Guar gum, Malted barley flour, Enzymes.",N,N,N,,N,Y,,Y,N,9/25/2025,Bagel
Sesame Seed Bagel,Tim Hortons,2.29,310,Y,N,Y,Y,Y,"Enriched flour (wheat flour, niacin, reduced iron, ascorbic acid added as a dough conditioner, thiamine mononitrate, riboflavin, enzyme, folic acid), Water, Sesame seeds, Sugar, Soybean and/or canola oil, Yeast, Corn meal, Salt, Guar gum, Gum arabic, Malted barley flour, Enzymes.",N,N,N,N,Y,Y,N,Y,N,9/25/2025,Bagel
Smoked Meat Bagel,Bridgehead,12.99,,N,N,,N,,,N,N,,,N,N,,Y,N,9/24/2025,Bagel
Toasted Bagel,Rooster's,3.19,,Y,N,Y,Y,Y,,N,N,N,N,N,N,N,Y,N,1/13/2026,Bagel
"Bacon, Egg & Cheese Bagel",Bridgehead,7.75,,N,N,,N,,,Y,N,,,N,N,,Y,,9/24/2025,Bagel with Protein
Bagel BELT,Tim Hortons,5.49,490,N,N,,N,N,"Choice of Bagel. Butter: Cream (milk), Salt. May contain annatto. Egg: Canada Grade A large egg. Cooking Spray: Canola oil, Coconut oil, Modified palm oil, Soy lecithin, Natural flavour, Dimethyl silicone, Propellants (isobutane, propane). Processed Cheese: Cheese (milk, modified milk ingredients, cream, bacterial culture, salt, microbial enzyme, calcium chloride, annatto, lipase), Modified milk ingredients, Water, Sugars (glucose), Sodium citrate and/or sodium phosphate, Skim milk powder, Salt, Acetic acid, Cultured skim milk powder, Soy lecithin, Soybean oil (for slice separation), Annatto and paprika oleoresin (paprika extract, sunflower oil), Nisin, Carboxymethylcellulose, Citric acid. Bacon: Pork, Water, Salt, Sugar, Smoke flavouring, Sodium phosphates, Sodium erythorbate, Sodium nitrite.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Bagel with Protein
Egg & Cheese Bagel,Bridgehead,6.95,,N,N,Y,Y,N,,Y,N,Y,,N,N,,Y,,9/24/2025,Bagel with Protein
Sausage Classic Bagel,Tim Hortons,5.29,615,N,N,,N,N,"Contains: Wheat, Egg, Milk, Soy Contains gluten (rye, barley)",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Bagel with Protein
Smoked Salmon Bagel,Bridgehead,12.99,,N,N,,N,,,N,Y,,,N,N,,Y,,9/24/2025,Bagel with Protein
Smoked Salmon Bagel,Riverbank Social,13.99,,N,N,N,N,N,Kettleman's sesame bagel with atlantlatic smoked salmon and cream cheese,N,Y,Y,N,Y,N,N,N,,1/13/2026,Bagel with Protein
Edamame,Teraanga Commons Dining Hall,,60,T,T,T,T,Y,,N,N,N,N,N,N,N,,N,10/6/2025,Beans
Green Beans,Teraanga Commons Dining Hall,,35,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Beans
Deli Roast Beef,Teraanga Commons Dining Hall,,140,F,F,F,F,Y,Roast Beef,N,N,N,N,N,,N,N,N,10/6/2025,Beef
Donburi Beef,Bento Boxes,12,579,N,N,N,N,Y,"Sukiyaki beef with cabbage, carrots and onions over white rice topped with Teriyaki sauce and sesame seeds",N,N,N,N,Y,Y,N,N,N,1/14/2025,Beef
Ground Beef (1 kilogram),Teraanga Commons Dining Hall,,,F,T,F,F,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Beef
Seasoned Ground Beef,Teraanga Commons Dining Hall,,150,F,T,F,F,Y,,N,N,,N,,,N,,N,10/6/2025,Beef
Roasted Beets & Basil,Teraanga Commons Dining Hall,,100,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Beets
Garlic Bread,Teraanga Commons Dining Hall,,170,F,F,T,T,N,,N,N,Y,N,,,N,Y,,10/6/2025,Bread
Garlic Cheese Bread,Mike's Place,7.99,,N,N,Y,Y,N,,N,N,Y,N,N,N,,Y,,10/1/2025,Bread
Garlic Croutons,Teraanga Commons Dining Hall,,60,T,F,T,T,N,,N,N,,N,,,N,Y,,10/6/2025,Bread
Gluten Free Bun,Rodney's Kitchen,1.6,220,Y,Y,Y,Y,Y,,N,N,N,N,,N,N,Y,,1/13/2026,Bread
House-Made Focaccia,Riverbank Social,6,,N,N,Y,Y,N,,N,N,N,N,N,N,N,Y,,1/13/2026,Bread
Broccoli,Teraanga Commons Dining Hall,,70,T,T,T,T,Y,,N,N,N,N,N,N,N,N,N,10/6/2025,Broccoli
Blondie,Teraanga Commons Dining Hall,,310,F,F,T,T,N,,Y,N,Y,N,N,,N,Y,,10/6/2025,Brownie
Chocolate Chunk Brookie,Tim Hortons,2.99,410,N,N,Y,Y,N,"Enriched wheat flour, Sugars (sugar, brown sugar), Butter (milk), Semi-sweet chocolate pieces (unsweetened chocolate, sugar, cocoa butter, soy lecithin, natural flavour), Semi-sweet chocolate chunks (sugar, unsweetened chocolate, dextrose, cocoa butter, soy lecithin, natural flavour), Palm oil margarine, Liquid whole eggs, Water, Modified corn starch, Baking powder, Salt, Sodium bicarbonate, Natural flavour. Double Chocolate Brownie: Sugar, Enriched wheat flour (wheat, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), Eggs, Margarine (palm oil, soybean oil, water, salt, nonfat dry milk, soy lecithin, distilled monoglycerides, extra virgin olive oil, natural flavour, vitamin D3, vitamin A palmitate, beta-carotene [coluor]), Semi-sweet chocolate (chocolate liquor, sugar, cocoa butter, milkfat, soy lecithin, salt, vanilla), Chocolate chunks (sugar, unsweetened chocolate, dextrose, cocoa butter, soy lecithin, vanilla), Soybean oil, Cocoa processed with alkali, Invert sugar, Water, Natural vanilla flavour, Baking powder (sodium acid pyrophosphate, corn starch, baking soda, mono calcium phosphate), Salt, Soy lecithin.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Brownie
Double Chocolate Brownie,Tim Hortons,2.99,410,N,N,Y,Y,N,"Sugar, Enriched wheat flour (wheat, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), Eggs, Margarine (palm oil, soybean oil, water, salt, nonfat dry milk, soy lecithin, distilled monoglycerides, extra virgin olive oil, natural flavour, vitamin D3, vitamin A palmitate, beta-carotene [coluor]), Semi-sweet chocolate (chocolate liquor, sugar, cocoa butter, milkfat, soy lecithin, salt, vanilla), Chocolate chunks (sugar, unsweetened chocolate, dextrose, cocoa butter, soy lecithin, vanilla), Soybean oil, Cocoa processed with alkali, Invert sugar, Water, Natural vanilla flavour, Baking powder (sodium acid pyrophosphate, corn starch, baking soda, mono calcium phosphate), Salt, Soy lecithin.",Y,N,Y,N,N,Y,N,Y,,9/25/2025,Brownie
Double Chocolate Brownie,Starbucks,3.95,480,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,1/15/2026,Brownie
Gluten Free Brownie,CT-Pastry,3.45,430,N,Y,Y,Y,N,,Y,N,Y,N,N,,N,N,,9/26/2025,Brownie
Rocky Road Brownie,CT-Pastry,3.45,260,N,N,Y,Y,N,,Y,N,Y,N,N,Y,N,Y,,9/26/2025,Brownie
